Cycle,State,TimeSpent
-21,4,0.000000
-22,4,0.000000
-23,4,0.000000
-24,4,0.000000
-25,4,0.000000
-26,4,0.000000
-27,4,0.000000
-28,4,0.000000
-29,4,0.000000
-30,4,0.000000
-31,4,0.000000
-32,4,0.000000
-33,4,0.000000
-34,4,0.000000
-35,4,0.000000
-36,4,0.000000
-37,4,0.000000
-38,4,0.000000
-39,4,0.000000
-40,4,0.000000
-41,4,0.000000
-42,4,0.000000
-43,4,0.000000
-44,4,0.000000
-45,4,0.000000
-46,4,0.000000
-47,4,0.000000
-48,4,0.000000
-49,4,0.000000
-50,4,0.000000
-51,4,0.000000
-52,4,0.000000
-53,4,0.000000
-54,4,0.000000
-55,4,0.000000
-56,4,0.000000
-57,4,0.000000
-58,4,0.000000
-59,4,0.000000
-60,4,0.000000
-61,4,0.000000
-62,4,0.000000
-63,4,0.000000
-64,4,0.000000
-65,4,0.000000
-66,4,0.000000
-67,4,0.000000
-68,4,0.000000
-69,4,0.000000
-70,4,0.000000
-71,4,0.000000
-72,4,0.000000
-73,0,0.000000
-74,0,0.000000
-75,0,0.000000
-76,0,0.000000
-77,0,0.000000
-78,0,0.000000
-79,0,0.000000
-80,0,0.000000
-81,0,0.000000
-82,0,0.000000
-83,0,0.000000
-84,0,0.000000
-85,0,0.000000
-86,0,0.000000
-87,0,0.000000
-88,0,0.000000
-89,0,0.000000
-90,0,0.000000
-91,0,0.000000
-92,0,0.000000
-93,0,0.000000
-94,0,0.000000
-95,0,0.000000
-96,0,0.000000
-97,0,0.000000
-98,0,0.000000
-99,0,0.000000
-100,0,0.000000
-101,0,0.000000
-102,0,0.000000
-103,0,0.000000
-104,0,0.000000
-105,0,0.000000
-106,0,0.000000
-107,0,0.000000
-108,0,0.000000
-109,0,0.000000
-110,0,0.000000
-111,0,0.000000
-112,0,0.000000
-113,0,0.000000
-114,0,0.000000
-115,0,0.000000
-116,0,0.000000
-117,0,0.000000
-118,0,0.000000
-119,0,0.000000
-120,0,0.000000
-121,0,0.000000
-122,0,0.000000
-123,0,0.000000
-124,0,0.000000
-125,0,0.000000
-126,0,0.000000
-127,0,0.000000
-128,0,0.000000
-129,0,0.000000
8,1,0.000000
0,2,0.000000
-1,2,0.000000
-2,2,0.000000
-3,2,0.000000
-4,2,0.000000
-5,2,0.000000
-6,2,0.000000
-7,2,0.000000
-8,2,0.000000
-9,2,0.000000
-10,2,0.000000
-11,2,0.000000
-12,2,0.000000
-13,2,0.000000
-14,2,0.000000
-15,2,0.000000
-16,2,0.000000
-17,2,0.000000
-18,2,0.000000
-19,2,0.000000
-20,2,0.000000
-21,2,0.000000
-220000.000000
-32,2,0.000000
-33,2,0.000000
-34,2,0.000000
-35,2,0.000000
-36,2,0.000000
-37,2,0.000000
-38,2,0.000000
-39,2,0.000000
-40,2,0.000000
-41,2,0.000000
-42,2,0.000000
-43,2,0.000000
-44,2,0.000000
-45,2,0.000000
-46,2,0.000000
-47,2,0.000000
-48,2,0.000000
-49,2,0.000000
-50,2,0.000000
-51,2,0.000000
-52,2,0.000000
-53,2,0.000000
-54,2,0.000000
-55,2,0.000000
-56,2,0.000000
-57,2,0.000000
-58,2,0.000000
-59,2,0.000000
-60,2,0.000000
-61,2,0.000000
-62,2,0.000000
-63,2,0.000000
-64,2,0.000000
-65,2,0.000000
-66,2,0.000000
-67,2,0.000000
-68,2,0.000000
-69,2,0.000000
-70,2,0.000000
-71,2,0.000000
8,3,0.000000
0,4,0.000000
-1,4,0.000000
-2,4,0.000000
-3,4,0.000000
-4,4,0.000000
-5,4,0.000000
-6,4,0.000000
-7,4,0.000000
-8,4,0.000000
-9,4,0.000000
-10,4,0.000000
-11,4,0.000000
-12,4,0.000000
-13,4,0.000000
-14,4,0.000000
-15,4,0.000000
5,0,0.000000
-316,0,0.000000
-317,0,0.000000
-318,0,0.000000
-319,0,0.000000
-320,0,0.000000
-321,0,0.000000
-322,0,0.000000
-323,0,0.000000
-324,0,0.000000
-325,0,0.000000
-326,0,0.000000
-327,0,0.000000
-328,0,0.000000
-329,0,0.000000
-330,0,0.000000
-331,0,0.000000
-332,0,0.000000
-333,0,0.000000
-334,0,0.000000
-335,0,0.000000
